solute_smiles,solvent_smiles,temperature_C,predicted_logS,predicted_logS_stdev
Naphthalenediimide_red,O,261.1,-3.2,0.3
Naphthalenediimide_red,O,272.2,-3.0,0.3
Naphthalenediimide_red,O,283.3,-2.9,0.3
Naphthalenediimide_red,O,294.4,-2.7,0.3
Naphthalenediimide_red,O,305.6,-2.5,0.3
Naphthalenediimide_red,O,316.7,-2.4,0.3
Naphthalenediimide_red,O,327.8,-2.2,0.3
Naphthalenediimide_red,O,338.9,-2.1,0.3
Naphthalenediimide_red,O,350.0,-1.9,0.2
anthacere_SOSO3_ox,O,250.0,-4.9,0.7
anthacere_SOSO3_ox,O,261.1,-4.8,0.7
anthacere_SOSO3_ox,O,272.2,-4.6,0.7
anthacere_SOSO3_ox,O,283.3,-4.4,0.7
anthacere_SOSO3_ox,O,294.4,-4.2,0.7
anthacere_SOSO3_ox,O,305.6,-4.1,0.7
anthacere_SOSO3_ox,O,316.7,-3.9,0.7
anthacere_SOSO3_ox,O,327.8,-3.7,0.7
anthacere_SOSO3_ox,O,338.9,-3.6,0.7
anthacere_SOSO3_ox,O,350.0,-3.4,0.7
anthacere_SOSO3_red,O,250.0,-5.1,0.6
anthacere_SOSO3_red,O,261.1,-5.0,0.6
anthacere_SOSO3_red,O,272.2,-4.8,0.6
anthacere_SOSO3_red,O,283.3,-4.6,0.6
anthacere_SOSO3_red,O,294.4,-4.4,0.6
anthacere_SOSO3_red,O,305.6,-4.3,0.6
anthacere_SOSO3_red,O,316.7,-4.1,0.6
anthacere_SOSO3_red,O,327.8,-3.9,0.6
anthacere_SOSO3_red,O,338.9,-3.8,0.6
anthacere_SOSO3_red,O,350.0,-3.6,0.6
